,DistanceToPrev,LineCode,SeqNum,StationCode,StationName,Address.City,Address.State,Address.Street,Address.Zip,Code,Lat,LineCode1,LineCode2,LineCode3,LineCode4,Lon,Name,StationTogether1,StationTogether2
53,2980,OR,6,K03,Virginia Square-GMU,Arlington,VA,3600 Fairfax Drive,22201,K03,38.88331,OR,SV,,,-77.104267,Virginia Square-GMU,,
54,2473,OR,7,K02,Clarendon,Arlington,VA,3100 Wilson Blvd,22201,K02,38.886373,OR,SV,,,-77.096963,Clarendon,,
55,2687,OR,8,K01,Court House,Arlington,VA,2100 Wilson Blvd,22201,K01,38.891499,OR,SV,,,-77.08391,Court House,,
56,5807,OR,9,C05,Rosslyn,Arlington,VA,1850 N. Moore Street,22209,C05,38.896595,BL,OR,SV,,-77.07146,Rosslyn,,
57,6993,OR,10,C04,Foggy Bottom-GWU,Washington,DC,2301 I St. NW,20037,C04,38.900599,BL,OR,SV,,-77.050273,Foggy Bottom-GWU,,
58,2783,OR,11,C03,Farragut West,Washington,DC,900 18th St. NW,20006,C03,38.901311,BL,OR,SV,,-77.03981,Farragut West,,
59,2001,OR,12,C02,McPherson Square,Washington,DC,1400 I St. NW,20005,C02,38.901316,BL,OR,SV,,-77.033652,McPherson Square,,
60,2359,OR,13,C01,Metro Center,Washington,DC,607 13th St. NW,20005,C01,38.898303,BL,OR,SV,,-77.028099,Metro Center,A01,
61,1561,OR,14,D01,Federal Triangle,Washington,DC,302 12th St. NW,20004,D01,38.893757,BL,OR,SV,,-77.028218,Federal Triangle,,
62,2016,OR,15,D02,Smithsonian,Washington,DC,1200 Independence Avenue SW,20004,D02,38.888022,BL,OR,SV,,-77.028232,Smithsonian,,
63,2643,OR,16,D03,L'Enfant Plaza,Washington,DC,600 Maryland Avenue SW,20024,D03,38.884775,BL,OR,SV,,-77.021964,L'Enfant Plaza,F03,
64,1757,OR,17,D04,Federal Center SW,Washington,DC,401 3rd Street SW,20024,D04,38.884958,BL,OR,SV,,-77.01586,Federal Center SW,,
65,3052,OR,18,D05,Capitol South,Washington,DC,355 First Street SE,20003,D05,38.884968,BL,OR,SV,,-77.005137,Capitol South,,
66,2703,OR,19,D06,Eastern Market,Washington,DC,701 Pennsylvania Avenue SE,20003,D06,38.884124,BL,OR,SV,,-76.995334,Eastern Market,,
67,3289,OR,20,D07,Potomac Ave,Washington,DC,700 14th Street SE,20003,D07,38.880841,BL,OR,SV,,-76.985721,Potomac Ave,,
68,3750,OR,21,D08,Stadium-Armory,Washington,DC,192 19th St. SE,20003,D08,38.88594,BL,OR,SV,,-76.977485,Stadium-Armory,,
69,11080,OR,22,D09,Minnesota Ave,Washington,DC,4000 Minnesota Avenue NE,20019,D09,38.898284,OR,,,,-76.948042,Minnesota Ave,,
70,4723,OR,23,D10,Deanwood,Washington,DC,4720 Minnesota Avenue NE,20019,D10,38.907734,OR,,,,-76.936177,Deanwood,,
71,6149,OR,24,D11,Cheverly,Cheverly,MD,5501 Columbia Park,20785,D11,38.91652,OR,,,,-76.915427,Cheverly,,
72,9665,OR,25,D12,Landover,Hyattsville,MD,3000 Pennsy Drive,20785,D12,38.934411,OR,,,,-76.890988,Landover,,
