home_lat,home_lon,work_lat,work_lon
38.82572535,-77.01193256,38.87786225,-77.03437325
38.82572535,-77.01193256,38.87934972,-77.0121947
38.82572535,-77.01193256,38.87935377,-77.00423232
38.82572535,-77.01193256,38.88023959,-76.98728308
38.82572535,-77.01193256,38.88129386,-76.99389976
38.82572535,-77.01193256,38.88205036,-76.9858834
38.82572535,-77.01193256,38.88207032,-77.02451512
38.82572535,-77.01193256,38.88297987,-77.0033724
38.82572535,-77.01193256,38.88344117,-77.01972757
38.82572535,-77.01193256,38.88439618,-76.988553
38.82572535,-77.01193256,38.88572762,-77.00098029
38.82572535,-77.01193256,38.88723589,-76.9932631
38.82572535,-77.01193256,38.8874763,-76.99880141
38.82572535,-77.01193256,38.8875746,-76.97151957
38.82572535,-77.01193256,38.89128932,-76.99678103
38.82572535,-77.01193256,38.89221821,-76.94955368
38.82572535,-77.01193256,38.89279738,-76.91401929
38.82572535,-77.01193256,38.89526734,-76.92957873
38.82572535,-77.01193256,38.89612766,-76.99667972
38.82572535,-77.01193256,38.89625783,-77.0146534
38.82572535,-77.01193256,38.89627629,-77.04292119
38.82572535,-77.01193256,38.89729855,-77.05158057
38.82572535,-77.01193256,38.89743112,-77.02045237
38.82572535,-77.01193256,38.89755634,-76.94484528
38.82572535,-77.01193256,38.897956,-76.99329252
38.82572535,-77.01193256,38.89799732,-76.93258123
38.82572535,-77.01193256,38.89801164,-77.02717393
38.82572535,-77.01193256,38.89817395,-76.98159904
38.82572535,-77.01193256,38.89874923,-77.05467122
38.82572535,-77.01193256,38.89964623,-77.0618145
38.82572535,-77.01193256,38.89995778,-76.95025018
38.82572535,-77.01193256,38.90045743,-77.01456899
38.82572535,-77.01193256,38.90069992,-77.04713527
38.82572535,-77.01193256,38.9010211,-77.05171998
38.82572535,-77.01193256,38.90180875,-76.99032054
38.82572535,-77.01193256,38.90217222,-77.02994423
38.82572535,-77.01193256,38.90253233,-77.0425942
38.82572535,-77.01193256,38.9033784,-77.0041467
38.82572535,-77.01193256,38.90385206,-77.03468821
38.82572535,-77.01193256,38.90492176,-77.04897729
38.82572535,-77.01193256,38.90587351,-77.02044541
38.82572535,-77.01193256,38.90643619,-77.05232668
38.82572535,-77.01193256,38.90720628,-77.04183726
38.82572535,-77.01193256,38.90830019,-77.05419866
38.82572535,-77.01193256,38.90843889,-77.04771991
38.82572535,-77.01193256,38.90879375,-77.03328163
38.82572535,-77.01193256,38.9091533,-77.01064917
38.82572535,-77.01193256,38.90931566,-77.07455457
38.82572535,-77.01193256,38.91012147,-76.94455254
38.82572535,-77.01193256,38.91045564,-77.03551276
38.82572535,-77.01193256,38.91052778,-77.03968901
38.82572535,-77.01193256,38.91053861,-77.02451482
38.82572535,-77.01193256,38.91053945,-76.99087517
38.82572535,-77.01193256,38.91071919,-76.98088989
38.82572535,-77.01193256,38.91150838,-77.04595279
38.82572535,-77.01193256,38.91161652,-76.96380558
38.82572535,-77.01193256,38.91187009,-77.03325255
38.82572535,-77.01193256,38.91190204,-77.03891728
38.82572535,-77.01193256,38.91194732,-77.00240612
38.82572535,-77.01193256,38.91207602,-77.01922267
38.82572535,-77.01193256,38.91266636,-77.00635363
38.82572535,-77.01193256,38.91332568,-77.03842368
38.82572535,-77.01193256,38.91433016,-77.06071162
38.82572535,-77.01193256,38.91454576,-77.04372464
38.82572535,-77.01193256,38.91552654,-77.0269825
38.82572535,-77.01193256,38.91662461,-77.04494504
38.82572535,-77.01193256,38.91706039,-77.0712757
38.82572535,-77.01193256,38.91748831,-76.99035048
38.82572535,-77.01193256,38.91877681,-77.02814588
38.82572535,-77.01193256,38.92133926,-77.01773285
38.82572535,-77.01193256,38.92166117,-77.03981267
38.82572535,-77.01193256,38.92221251,-77.0544705
38.82572535,-77.01193256,38.92264653,-76.9977218
38.82572535,-77.01193256,38.92298367,-76.95249147
