,Lat,Lon,Name,Routes,StopID
6720,38.994391,-76.865111,MANDAN RD + #7516-7546,"[u'G12', u'G12v1']",3002252
6721,38.994399,-77.034119,EAST-WEST HWY + E FALKLAND LN,"[u'J1', u'J2', u'J2v1', u'J3']",2000174
6722,38.994456,-77.09648,WISCONSIN AVE + CHELSEA LA,"[u'J2', u'J2v1', u'J3', u'J7']",2000175
6723,38.99456,-76.985641,NEW HAMPSHIRE AVE + #8229,[u'K6'],3002253
6724,38.994633,-76.971648,RIGGS RD + 20TH AVE,"[u'R1', u'R2', u'R2v2']",3002254
6725,38.994644,-76.971648,RIGGS RD + COOL SPRING RD,"[u'R1', u'R2']",3002255
6726,38.994644,-77.096382,WISCONSIN AVE + CHELSEA LA,"[u'J2', u'J3', u'J7']",2000179
6727,38.994663,-77.024208,FENTON ST + BONIFANT ST,[u'F4'],2000180
6728,38.994678,-77.065048,JONES MILL RD + FARMINGTON DR,[u'J1'],2000181
6729,38.994728,-76.985778,NEW HAMPSHIRE AVE + #8236,[u'K6'],3002256
6730,38.994762,-77.04531,EAST-WEST HWY + WASHINGTON AVE,"[u'J1', u'J2', u'J2v1', u'J3']",2000182
6731,38.994765,-76.873824,HANOVER PKY + GREENBELT RD,"[u'G12', u'G12v1']",3002257
6732,38.994903,-76.873924,HANOVER PKY + GREENBELT RD,[u'G12'],3002259
6733,38.994929,-76.99301,UNIVERSITY BLVD + FORSTON ST,"[u'C2', u'C4']",2000183
6734,38.994965,-76.99276,UNIVERSITY BLVD + CARROLL AVE,"[u'C2', u'C2v2', u'C2v3', u'C4', u'C4c', u'C4cv1', u'C4v3']",2000184
6735,38.994968,-77.045303,EAST-WEST HWY + SUNDALE DR,"[u'J1', u'J2', u'J3']",2000185
6736,38.995106,-77.027054,GEORGIA AVE + ELLSWORTH DR,"[u'F4', u'J5', u'J5c', u'Q1', u'Q2', u'Q2cv1', u'Q4', u'Y2', u'Y7', u'Y8']",2000186
6737,38.99522,-77.03833,EAST-WEST HWY + SUMMIT HILLS APARTMENTS,"[u'J1', u'J2', u'J2v1', u'J3', u'J4']",2000187
6738,38.995353,-77.042396,EAST-WEST HWY + ROSEMARY HILLS DR,"[u'J1', u'J2', u'J2v1', u'J3']",2000189
6739,38.995552,-76.972153,RIGGS RD + QUEBEC ST,"[u'R1', u'R2']",3002260
6740,38.99575,-76.865279,MANDAN RD + #7648-7676,"[u'G12', u'G12v1']",3002261
6741,38.99588,-76.972335,RIGGS RD + QUEBEC ST,"[u'R1', u'R2', u'R2v2']",3002262
6742,38.995883,-77.077049,CONNECTICUT AVE + MANOR RD,[u'L8'],2000190
6743,38.99599,-76.895515,GREENBELT RD + WALKER DR,"[u'G14', u'G14v2']",3002263
6744,38.996066,-76.886748,LAKECREST DR + LEGION DR,"[u'G12', u'G12v1', u'G14', u'G14c', u'G14v2']",3002264
6745,38.996093,-76.886664,LAKECREST DR + LAKECREST CIR,"[u'G12', u'G14', u'G14v2']",3002265
6746,38.996098,-76.931763,BALTIMORE AVE + BERWYN RD,"[u'83', u'86', u'86v2', u'C2', u'C2c']",3002266
6747,38.996132,-76.984809,NEW HAMPSHIRE AVE + QUEBEC ST,[u'K6'],3002267
6748,38.996181,-76.931861,BALTIMORE AVE + BERWYN RD,"[u'83', u'86', u'C2', u'C2c', u'C2v2']",3002268
6749,38.99622,-76.894608,GREENBELT RD + WALKER DR,"[u'G14', u'G14c', u'G14v2']",3002269
6750,38.996307,-76.870757,HANOVER PKY + #7722,"[u'G12', u'G12v1']",3002270
6751,38.996502,-76.870461,HANOVER PKY + #7722,[u'G12'],3002271
6752,38.996566,-76.901793,GREENBELT RD + EDMONSTON RD,"[u'G14', u'G14c', u'G14v2', u'R12', u'R12v1']",3002272
6753,38.996662,-76.984741,NEW HAMPSHIRE AVE + QUEBEC ST,[u'K6'],3002273
6754,38.996712,-76.972763,RIGGS RD + RUATAN ST,"[u'R1', u'R2']",3002274
6755,38.996735,-76.905624,GREENBELT RD + 63RD AVE,"[u'G14', u'G14v2', u'R12', u'R12v1']",3002275
6756,38.996796,-76.904471,GREENBELT RD + 63RD AVE,"[u'G14', u'G14c', u'G14v2', u'R12', u'R12v1']",3002276
6757,38.996876,-76.879081,SOUTHWAY + #11 COURT,"[u'G14', u'G14v2']",3002277
6758,38.996971,-76.972931,RIGGS RD + RUATAN ST,"[u'R1', u'R2', u'R2v2']",3002278
6759,38.997078,-77.077263,CONNECTICUT AVE + MANOR RD,[u'L8'],2000194
6760,38.997081,-76.879249,SOUTHWAY + #10 COURT,"[u'G14', u'G14v1', u'G14v2']",3002279
6761,38.997086,-77.169623,RIVER RD + CARDEROCK SPRINGS DR,[u'T2'],2000195
6762,38.997089,-77.096778,ROCKVILLE PIKE + CENTER DR,"[u'J2', u'J2v1', u'J3', u'J7']",2000196
6763,38.997123,-76.868072,HANOVER PKWY + #7800,"[u'G12', u'G12v1']",3002280
6764,38.997146,-77.025893,FENTON ST + ROEDER RD,[u'F4'],2000197
6765,38.997196,-77.066017,JONES MILL RD + COQUELIN TER,[u'J1'],2000198
6766,38.997391,-77.029442,GEORGIA AVE + CAMERON ST,"[u'J5', u'J5c', u'Q1', u'Q2', u'Q2cv1', u'Q4', u'Y2', u'Y7', u'Y8']",2000200
6767,38.99741,-76.931556,BALTIMORE AVE + TECUMSEH ST,"[u'83', u'86', u'86v2', u'C2', u'C2c']",3002281
6768,38.997481,-76.994033,UNIVERSITY BLVD + SEEK LA,"[u'C2', u'C4']",2000201
6769,38.997559,-76.993781,UNIVERSITY BLVD + SEEK LA,"[u'C2', u'C2v2', u'C2v3', u'C4', u'C4c', u'C4cv1', u'C4v3']",2000202
