,latitude,longitude,name,unique,detail,category,type
100,38.757826,-77.262869,HUNTSMAN BLVD + GOLDEN BALL TAVERN CT,5000027,18H,bus,bus
101,38.757855,-77.263106,HUNTSMAN BLVD + GOLDEN BALL TAVERN CT,5000028,18H,bus,bus
102,38.757943,-77.225251,FAIRFAX COUNTY PKY + WHITLERS CREEK DR,5004553,18R,bus,bus
103,38.757911,-76.997439,OXON HILL RD + LIVINGSTON RD,3000150,P17,bus,bus
103,38.757911,-76.997439,OXON HILL RD + LIVINGSTON RD,3000150,P18,bus,bus
103,38.757911,-76.997439,OXON HILL RD + LIVINGSTON RD,3000150,P19,bus,bus
104,38.758013,-76.99739,OXON HILL RD + LIVINGSTON RD,3000151,P17,bus,bus
104,38.758013,-76.99739,OXON HILL RD + LIVINGSTON RD,3000151,P18,bus,bus
104,38.758013,-76.99739,OXON HILL RD + LIVINGSTON RD,3000151,P19,bus,bus
105,38.758148,-77.24986,ARLEY DR + APPLECROSS LN,5000030,18H,bus,bus
106,38.758266,-77.253295,ARLEY DR + SONTAG WAY,5000031,18H,bus,bus
107,38.758365,-77.253169,ARLEY DR + SONTAG WAY,5000032,18H,bus,bus
108,38.758359,-77.256585,ARLEY DR + HANKS PL,5000033,18H,bus,bus
109,38.758511,-77.224732,FAIRFAX COUNTY PKY + WHITLERS CREEK DR,5000034,18R,bus,bus
110,38.758614,-77.257369,ARLEY DR + HANKS PL,5000035,18H,bus,bus
111,38.758497,-77.018644,FORT FOOTE RD S + WEDGEWOOD DR,3000152,P17,bus,bus
111,38.758497,-77.018644,FORT FOOTE RD S + WEDGEWOOD DR,3000152,P18,bus,bus
112,38.758631,-77.255099,ARLEY DR + FRESHAIRE DR,5000036,18H,bus,bus
113,38.758775,-77.019896,FORT FOOTE RD + LOUGHRAN RD,3000153,P17,bus,bus
113,38.758775,-77.019896,FORT FOOTE RD + LOUGHRAN RD,3000153,P18,bus,bus
114,38.758755,-77.255166,ARLEY DR + FRESHAIRE DR,5000037,18H,bus,bus
115,38.758879,-77.023377,FORT FOOTE RD + SANDY BAR DR,3000154,P17,bus,bus
115,38.758879,-77.023377,FORT FOOTE RD + SANDY BAR DR,3000154,P18,bus,bus
116,38.759146,-77.269795,RESERVATION DR + GAME LORD DR,5000038,18H,bus,bus
117,38.759025,-77.023484,FORT FOOTE RD + IVANHOE RD,3000155,P17,bus,bus
117,38.759025,-77.023484,FORT FOOTE RD + IVANHOE RD,3000155,P18,bus,bus
118,38.759045,-76.963568,ALLENTOWN RD + ROSE VALLEY DR,3000156,W13,bus,bus
118,38.759045,-76.963568,ALLENTOWN RD + ROSE VALLEY DR,3000156,W13v1,bus,bus
118,38.759045,-76.963568,ALLENTOWN RD + ROSE VALLEY DR,3000156,W14,bus,bus
119,38.759155,-76.963689,ALLENTOWN RD + ROSE VALLEY DR,3000157,W13,bus,bus
119,38.759155,-76.963689,ALLENTOWN RD + ROSE VALLEY DR,3000157,W13c,bus,bus
119,38.759155,-76.963689,ALLENTOWN RD + ROSE VALLEY DR,3000157,W14,bus,bus
120,38.759256,-77.269927,RESERVATION DR + GAME LORD DR,5000039,18H,bus,bus
121,38.759183,-77.016131,FORT FOOTE RD + LANCELOT RD,3000158,P17,bus,bus
121,38.759183,-77.016131,FORT FOOTE RD + LANCELOT RD,3000158,P18,bus,bus
122,38.759498,-77.259076,ARLEY DR + ROCKEFELLER LN,5000040,18H,bus,bus
123,38.759419,-77.246023,ARLEY DR + SAMPAL PL,5000041,18H,bus,bus
124,38.759558,-77.259498,ROCKEFELLER LN + ARLEY DR,5000042,18H,bus,bus
125,38.759537,-77.262211,HUNTSMAN BLVD + ROCKEFELLER LN,5000043,18H,bus,bus
126,38.759602,-77.261442,ROCKEFELLER LN + HUNTSMAN BLVD,5000044,18H,bus,bus
127,38.759667,-77.015306,FORT FOOTE RD S + ROUND TABLE DR,3000159,P17,bus,bus
127,38.759667,-77.015306,FORT FOOTE RD S + ROUND TABLE DR,3000159,P18,bus,bus
128,38.759585,-77.245472,ARLEY DR + WHITSON DR,5000045,18H,bus,bus
129,38.759865,-77.272801,LEE CHAPEL RD + DOWNHAUL LN,5000046,18R,bus,bus
130,38.760447,-76.961463,ALLENTOWN RD + DORIS DR,3000160,W13,bus,bus
130,38.760447,-76.961463,ALLENTOWN RD + DORIS DR,3000160,W13v1,bus,bus
130,38.760447,-76.961463,ALLENTOWN RD + DORIS DR,3000160,W14,bus,bus
131,38.760619,-77.244183,SYDENSTRICKER RD + ARLEY DR,5000047,18H,bus,bus
132,38.760643,-76.961393,ALLENTOWN RD + DORIS DR,3000161,W13,bus,bus
132,38.760643,-76.961393,ALLENTOWN RD + DORIS DR,3000161,W13c,bus,bus
132,38.760643,-76.961393,ALLENTOWN RD + DORIS DR,3000161,W14,bus,bus
133,38.760757,-77.024228,FORT FOOTE RD + LARK LN,3000162,P17,bus,bus
133,38.760757,-77.024228,FORT FOOTE RD + LARK LN,3000162,P18,bus,bus
134,38.760711,-77.010595,FORT FOOTE RD S + TRAVERSE WAY,3000163,P17,bus,bus
134,38.760711,-77.010595,FORT FOOTE RD S + TRAVERSE WAY,3000163,P18,bus,bus
135,38.760819,-77.244048,SYDENSTRICKER RD + ARLEY DR,5000048,18H,bus,bus
136,38.760964,-77.005612,FORT FOOTE RD S + STONY HILL DR,3000164,P17,bus,bus
136,38.760964,-77.005612,FORT FOOTE RD S + STONY HILL DR,3000164,P18,bus,bus
137,38.760883,-77.010702,FORT FOOTE RD S + MESSINA DR,3000165,P17,bus,bus
137,38.760883,-77.010702,FORT FOOTE RD S + MESSINA DR,3000165,P18,bus,bus
138,38.760855,-77.024405,FORT FOOTE RD + LARK LN,3000166,P17,bus,bus
138,38.760855,-77.024405,FORT FOOTE RD + LARK LN,3000166,P18,bus,bus
